Target,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19
꼬깔콘,꼬깔콘,소리까지 맛배!,MTNAGER%,매콤달콤한 맛,LOTE,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘
꼬깔콘,꼬깔콘,고소한 맛,끼워먹는 재미),소녀까지 맛있다!,옥수수66 %플러스고소한맛씨즈닝2 %,상기 사진은 이미지컷 입니다.,과자 72 g(410 kcal),17년 닐슨포스 콘스낵 매출 기준!,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘
꼬깔콘,옥수수는 역시 2깔로이!!,찰옥수수맛,{옥수수,집옥수수말 파우더,달콤고소,Sinee,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!
꼬깔콘,꼬깔콘,달콤한맛,소리까지 맛있다!,끼워먹는 재미,LOTTE,0pEN,Since,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘
꼬깔콘,꼬깔콘,치먹 스파이시면,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘
꼬깔콘,꼬깔콘,고소한맛,소리까지 맛있!,광장 4.36%17% 3.3) 양양 52 %,THEN 6N THE UPLOW!,Original Corsrach,이미지 사진,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘
꼬깔콘,옥수수는 역시 2깔로이!!,찰옥수수맛,{옥수수,집옥수수말 파우더,달콤고소,Sinee,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!
꼬깔콘,꼬깔콘,고소한맛,since 1988,2067g(085 1c) 44465%플라스고소함%4382 %,@LOTTE,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘
꼬깔콘,꼬깔콘,매콤달콤한 맛,소리까지 맛있다!,LOTTE,THE 매하게 THE비마이니,옥수수59 % 매출함께한맛씨즈닝 4.7),OPEN,광자 67 g(385 kcal),Uriginul Cormana,이미지 사진,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘
꼬깔콘,꼬깔 꼬깔콘,reat Drink PO,새우마요맛,reat. Drink Play,새우마요맛!,LOTTE,LOTTE,꼬깔 꼬깔콘,꼬깔 꼬깔콘,꼬깔 꼬깔콘,꼬깔 꼬깔콘,꼬깔 꼬깔콘,꼬깔 꼬깔콘,꼬깔 꼬깔콘,꼬깔 꼬깔콘,꼬깔 꼬깔콘,꼬깔 꼬깔콘,꼬깔 꼬깔콘,꼬깔 꼬깔콘,꼬깔 꼬깔콘
